epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5875,1.07789,2.99244,1.36922,0.00367,0.98864,0.12589,0.0575,1.1698,3.28453,1.4673,0.00012,0.00012,0.00012
2,24.5777,1.02816,2.78532,1.30932,0.00367,0.98864,0.51223,0.32423,0.8916,3.04605,1.26388,0.000257426,0.000257426,0.000257426
3,33.8356,1.01952,2.23907,1.31502,0.69769,0.47211,0.52967,0.32352,1.04676,2.81848,1.47406,0.00039208,0.00039208,0.00039208
4,41.5284,1.0719,1.96539,1.33315,0.67928,0.13636,0.41777,0.25384,1.28382,3.02869,1.59255,0.000523962,0.000523962,0.000523962
5,50.6446,1.12807,1.97728,1.39144,0.53265,0.09068,0.21117,0.08819,1.67194,3.40924,2.10114,0.000653072,0.000653072,0.000653072
6,58.3165,1.1491,1.93748,1.38462,0.3262,0.14773,0.16988,0.07415,1.87273,3.83316,2.69615,0.00077941,0.00077941,0.00077941
7,67.4658,1.17246,1.91795,1.41843,0.21861,0.07955,0.11084,0.05796,2.15519,3.92251,2.90172,0.000902976,0.000902976,0.000902976
8,74.7907,1.17741,1.79039,1.39605,0.0397,0.14773,0.01915,0.00565,2.33901,4.90104,3.71636,0.00102377,0.00102377,0.00102377
9,83.8475,1.19689,1.75204,1.41572,0.21719,0.28409,0.13319,0.04996,1.91208,3.57049,2.43228,0.00114179,0.00114179,0.00114179
10,91.2335,1.2069,1.73994,1.45699,0.2169,0.38636,0.18347,0.07295,1.94724,3.27455,2.46084,0.00125704,0.00125704,0.00125704
11,100.014,1.24667,1.80099,1.48065,0.22305,0.14773,0.08884,0.02182,2.57585,3.44725,3.30303,0.00136952,0.00136952,0.00136952
12,108.043,1.32048,1.80184,1.5151,0.00696,0.01136,0.00128,0.00019,4.3452,4.52025,5.42091,0.00147923,0.00147923,0.00147923
13,115.718,1.32636,1.82151,1.50884,0.0213,0.01136,0.00448,0.00118,3.41049,4.88169,3.71891,0.00158616,0.00158616,0.00158616
14,124.76,1.41455,1.79667,1.57122,0.11807,0.17045,0.05129,0.01297,2.99542,4.30127,4.70154,0.00169032,0.00169032,0.00169032
15,132.477,1.30492,1.67992,1.54343,0.0404,0.20455,0.02236,0.00487,2.66906,4.07256,3.92711,0.0017228,0.0017228,0.0017228
16,141.409,1.35172,1.67826,1.53868,0.05835,0.125,0.02503,0.00703,2.50271,6.62322,4.79704,0.001703,0.001703,0.001703
17,148.556,1.30513,1.60095,1.52247,0.10579,0.15909,0.05054,0.01164,2.62642,11.7832,5.61432,0.0016832,0.0016832,0.0016832
18,157.982,1.28352,1.52255,1.4915,0.11244,0.07955,0.03449,0.0104,2.68248,5.81761,4.70124,0.0016634,0.0016634,0.0016634
19,165.545,1.33017,1.51013,1.53984,0.11356,0.14773,0.04204,0.01246,2.45978,3.62943,3.11605,0.0016436,0.0016436,0.0016436
20,173.48,1.27761,1.54844,1.49247,0.2141,0.226,0.11875,0.03933,2.12317,3.89516,2.78865,0.0016238,0.0016238,0.0016238
21,182.279,1.25251,1.49174,1.48638,0.08349,0.05682,0.01928,0.00768,2.8101,3.31694,3.11838,0.001604,0.001604,0.001604
22,189.968,1.26291,1.45355,1.47193,0.35131,0.27273,0.22092,0.07991,2.26629,2.72186,2.82341,0.0015842,0.0015842,0.0015842
23,198.885,1.24125,1.38749,1.46836,0.3285,0.39773,0.32962,0.12459,1.92574,2.63177,2.44467,0.0015644,0.0015644,0.0015644
24,206.448,1.24047,1.34097,1.46407,0.4865,0.5,0.41709,0.20661,1.77629,2.73627,2.29701,0.0015446,0.0015446,0.0015446
25,215.713,1.19804,1.27475,1.41372,0.45959,0.42045,0.37891,0.1941,1.76984,2.2726,2.29113,0.0015248,0.0015248,0.0015248
26,222.485,1.18702,1.35618,1.41623,0.42722,0.375,0.31724,0.1419,1.7937,2.66724,2.26584,0.001505,0.001505,0.001505
27,231.364,1.13385,1.24956,1.4038,0.64059,0.44318,0.48341,0.25533,1.60047,2.10073,2.0771,0.0014852,0.0014852,0.0014852
28,239.361,1.20417,1.27267,1.41043,0.31596,0.44318,0.24664,0.11396,1.81894,2.38051,2.29618,0.0014654,0.0014654,0.0014654
29,246.86,1.18719,1.29228,1.40548,0.31176,0.25,0.14948,0.06766,2.02951,3.43119,2.80258,0.0014456,0.0014456,0.0014456
30,256.199,1.16337,1.26163,1.39957,0.37821,0.59091,0.42133,0.23073,1.54775,2.18977,1.91035,0.0014258,0.0014258,0.0014258
31,263.481,1.12882,1.20542,1.39118,0.44084,0.39424,0.35412,0.18716,1.71678,2.24906,2.10106,0.001406,0.001406,0.001406
32,271.993,1.16004,1.21958,1.40035,0.47702,0.40909,0.37703,0.18933,1.7329,1.87711,2.09908,0.0013862,0.0013862,0.0013862
33,279.185,1.15341,1.10369,1.36976,0.54578,0.44318,0.4265,0.24229,1.52803,1.83563,1.86018,0.0013664,0.0013664,0.0013664
34,287.854,1.10695,1.09789,1.37621,0.65447,0.43182,0.48045,0.26377,1.47155,2.00852,1.78518,0.0013466,0.0013466,0.0013466
35,295.379,1.10813,1.18035,1.34394,0.61972,0.42045,0.48645,0.29858,1.47394,1.84026,1.83809,0.0013268,0.0013268,0.0013268
36,303.393,1.0928,1.10715,1.35293,0.58584,0.49831,0.49877,0.28796,1.47402,1.95546,1.81788,0.001307,0.001307,0.001307
37,311.654,1.12792,1.11091,1.36926,0.61051,0.55682,0.55233,0.32746,1.42803,1.57024,1.82655,0.0012872,0.0012872,0.0012872
38,319.348,1.01908,1.07019,1.29906,0.5066,0.5,0.4979,0.31101,1.30338,1.85435,1.70328,0.0012674,0.0012674,0.0012674
39,328.114,1.02726,1.00988,1.31354,0.66176,0.60227,0.59213,0.37197,1.33714,1.50938,1.72086,0.0012476,0.0012476,0.0012476
40,335.028,1.06979,1.02394,1.32082,0.55028,0.72307,0.62907,0.37852,1.36414,1.3721,1.73702,0.0012278,0.0012278,0.0012278
41,344.125,1.03368,1.0606,1.32049,0.5988,0.64773,0.62409,0.40998,1.289,1.4308,1.67653,0.001208,0.001208,0.001208
42,351.391,1.00741,1.01816,1.28755,0.61065,0.52273,0.53307,0.28733,1.57365,1.56498,1.85095,0.0011882,0.0011882,0.0011882
43,360,1.03876,0.98161,1.31182,0.61495,0.625,0.61426,0.38995,1.35712,1.4732,1.68425,0.0011684,0.0011684,0.0011684
44,367.79,1.04373,1.00802,1.30218,0.69416,0.64773,0.66986,0.3967,1.27703,1.42636,1.5856,0.0011486,0.0011486,0.0011486
