epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7946,1.15973,2.62137,1.46416,0.45452,0.44318,0.36036,0.1638,1.91564,4.52705,2.20052,0.00024,0.00024,0.00024
2,30.1834,1.40053,2.07851,1.61579,0.04658,0.36364,0.03224,0.01066,2.56565,96.3585,6.35583,0.00049505,0.00049505,0.00049505
3,41.3607,1.62191,2.31384,1.79681,0.00198,0.30682,0.00169,0.00055,nan,nan,nan,0.000744952,0.000744952,0.000744952
4,52.3355,1.95298,2.4901,2.08999,0.00198,0.30682,0.00169,0.00055,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,63.1671,1.81683,2.29817,1.99095,0.00913,0.02273,0.0027,0.00108,nan,nan,nan,0.00122931,0.00122931,0.00122931
6,73.9855,1.84839,2.34205,1.99786,0.00194,0.01136,0.00076,0.00038,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,84.8769,1.83873,2.25328,1.99941,0.00264,0.10227,0.00147,0.00063,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,95.7274,1.84786,2.24493,1.99509,0.00264,0.10227,0.00147,0.00063,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,106.536,1.78026,2.17146,1.98678,0.00264,0.10227,0.00147,0.00063,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,117.435,1.83207,2.18779,2.05681,0.00362,0.07955,0.00131,0.0003,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,128.339,1.7169,2.18524,1.89931,0.00131,0.29545,0.00079,0.00029,nan,nan,nan,0.001802,0.001802,0.001802
12,139.223,1.80809,2.13575,1.94159,0.00102,0.21591,0.00062,0.00018,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,150.09,1.65517,2.13186,1.8759,0.10534,0.15909,0.035,0.01269,3.17773,7.56939,4.12826,0.0017624,0.0017624,0.0017624
14,161.061,1.5883,1.9566,1.84022,0.00589,0.09091,0.00194,0.00078,3.04688,30.537,3.79483,0.0017426,0.0017426,0.0017426
15,171.958,1.57692,2.08218,1.81064,0.00535,0.21591,0.00249,0.00079,3.30778,38.8788,4.02673,0.0017228,0.0017228,0.0017228
