                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8672,                 2.2066,                 1.9432,                0.21399,                0.35052,                0.17016,                0.05773,                 2.3525,                  3.378,                 2.2311,              0.0013268,              0.0013268,              0.0013268
                     36,                   1.92,                 2.2071,                 1.9511,                0.23769,                0.27835,                0.19815,                0.07438,                 2.3634,                 2.6228,                 2.2378,               0.001307,               0.001307,               0.001307
                     37,                 1.8809,                 2.1901,                 1.9403,                0.23843,                0.29897,                 0.2027,                0.08102,                 2.2649,                 2.5243,                 2.1898,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8872,                 2.2099,                 1.9423,                0.27869,                0.29897,                0.23772,                0.08036,                 2.2679,                 2.4825,                 2.1713,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8439,                  2.199,                 1.9304,                   0.29,                0.34021,                0.22377,                0.06978,                  2.391,                 2.5597,                 2.2414,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.864,                 2.1287,                 1.9241,                0.27424,                0.30928,                0.19069,                0.07698,                 2.2927,                 2.4173,                 2.0949,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8434,                 2.1231,                 1.8828,                0.38788,                0.31959,                0.25705,                0.08249,                 2.2324,                 2.5531,                 2.1022,               0.001208,               0.001208,               0.001208
                     42,                 1.8629,                 2.1248,                  1.902,                0.26241,                0.20908,                0.20079,                0.08262,                 2.3008,                 2.6871,                 2.1497,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8201,                 2.0894,                 1.8816,                0.35055,                0.27835,                 0.2598,                0.10149,                 2.2467,                 2.3242,                 2.0959,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7874,                 2.0731,                 1.8684,                0.47289,                0.25773,                0.25195,                0.08851,                 2.2891,                 2.3837,                 2.1283,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8358,                 2.0707,                 1.8885,                0.36263,                0.33436,                0.28892,                0.11155,                 2.1331,                 2.3415,                 2.0513,              0.0011288,              0.0011288,              0.0011288
                     46,                   1.82,                 2.0715,                 1.8676,                0.24453,                0.36082,                0.26175,                 0.0991,                 2.2333,                 2.3514,                 2.0965,               0.001109,               0.001109,               0.001109
                     47,                 1.8256,                 2.0975,                 1.9021,                0.29445,                0.39175,                0.21532,                0.08932,                 2.2662,                 2.3951,                 2.1785,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8189,                 2.1024,                 1.8708,                0.22113,                0.35417,                0.22732,                0.08588,                 2.3458,                 2.4473,                 2.2354,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8116,                 2.0334,                 1.8554,                0.27839,                0.40569,                0.25867,                0.09111,                  2.253,                 2.4233,                 2.1774,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.8134,                 2.0578,                 1.8531,                0.37662,                 0.3299,                0.30484,                0.12372,                 2.1655,                 2.2624,                 2.0303,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7785,                 1.9759,                 1.8383,                0.34058,                0.42268,                0.26869,                0.10952,                 2.2426,                 2.3241,                 2.1354,                0.00101,                0.00101,                0.00101
                     52,                 1.7777,                 1.9161,                 1.8241,                0.37582,                0.39175,                0.30397,                0.11566,                 2.2528,                 2.2295,                 2.1232,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8032,                 1.9824,                  1.849,                0.34102,                 0.3299,                0.28152,                0.10182,                 2.2841,                 2.2615,                 2.1681,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7579,                 1.9475,                 1.8149,                0.29203,                 0.3299,                0.25733,                0.08612,                 2.2825,                 2.4656,                 2.1387,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7397,                  1.986,                 1.8117,                0.41066,                0.35052,                0.29618,                0.11072,                 2.2626,                 2.3516,                 2.1101,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7724,                 1.9697,                 1.8134,                0.40885,                0.27835,                0.31714,                0.12525,                 2.1804,                 2.1949,                 2.0461,               0.000911,               0.000911,               0.000911
                     57,                 1.7184,                 1.9074,                 1.8015,                0.39679,                0.38144,                0.34403,                0.12345,                 2.0588,                 2.1451,                 1.9881,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7765,                 1.9853,                 1.8287,                0.40634,                0.34021,                0.32198,                0.11934,                 2.1543,                 2.1944,                 2.0145,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7377,                 1.9217,                 1.8082,                0.39266,                0.35052,                0.29297,                0.10167,                 2.2768,                 2.2956,                 2.1053,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7467,                 1.9036,                 1.7657,                0.35212,                0.46392,                0.33844,                0.14053,                 2.2289,                 2.0885,                 2.0494,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6933,                 1.8365,                 1.7679,                0.41947,                0.40972,                0.34295,                0.12495,                 2.1436,                 2.1422,                 2.0514,               0.000812,               0.000812,               0.000812
                     62,                  1.704,                 1.8875,                 1.7825,                0.42024,                0.34021,                0.33476,                0.13054,                 2.1778,                 2.1486,                 2.0711,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7066,                 1.8813,                 1.7674,                 0.4964,                0.34021,                0.34647,                0.12507,                 2.2434,                 2.1616,                 2.0716,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6669,                 1.8372,                 1.7338,                0.53796,                0.37113,                  0.401,                0.15404,                 2.2224,                 2.0947,                 2.1029,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6691,                 1.8334,                 1.7605,                0.47698,                 0.4433,                0.39074,                0.15702,                 2.1561,                 2.1052,                 2.1002,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6877,                 1.8098,                 1.7725,                0.62941,                0.28866,                0.36566,                0.15593,                  2.095,                 2.1181,                 2.0191,               0.000713,               0.000713,               0.000713
                     67,                 1.7154,                  1.835,                 1.7732,                0.48698,                0.36082,                0.36098,                0.14806,                  2.144,                 2.1148,                 2.0513,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6774,                 1.7861,                 1.7513,                0.42906,                0.41237,                0.34233,                0.12776,                 2.1906,                 2.1477,                 2.0986,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6804,                  1.787,                 1.7806,                0.54812,                 0.3299,                0.38309,                0.13519,                 2.1788,                 2.0814,                 2.0525,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6529,                 1.7561,                 1.7361,                0.42597,                0.38144,                0.34725,                0.13334,                 2.1698,                 2.2009,                 2.0215,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6108,                 1.6835,                 1.7016,                0.43139,                0.41455,                0.34079,                0.12521,                 2.2023,                 2.3194,                 2.0711,               0.000614,               0.000614,               0.000614
                     72,                 1.6649,                 1.7374,                 1.7166,                0.50952,                0.43911,                0.44333,                0.16949,                 2.1573,                 2.0486,                 2.0287,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.7074,                 1.7447,                 1.7712,                0.47154,                0.46392,                0.41304,                0.16667,                 2.1327,                 1.9976,                 2.0312,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6035,                 1.7018,                 1.7155,                0.46745,                0.49485,                0.39907,                0.15441,                 2.1325,                 1.9787,                  2.035,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6009,                 1.6869,                 1.6946,                0.44082,                0.46325,                0.39973,                 0.1644,                 2.1139,                 1.9033,                 1.9979,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6096,                 1.7559,                 1.7224,                0.41894,                0.51546,                0.43441,                0.17109,                 2.1803,                 1.9773,                 2.0445,               0.000515,               0.000515,               0.000515
                     77,                  1.537,                 1.6551,                 1.6852,                0.35715,                0.42268,                0.34705,                0.13937,                 2.1678,                 2.0837,                 2.0852,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.5884,                 1.6375,                 1.6868,                0.40823,                0.46392,                0.38575,                0.14966,                 2.1206,                 1.9963,                 2.0055,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5877,                  1.617,                 1.6966,                0.43612,                0.49435,                0.37418,                 0.1525,                 2.1109,                 2.0248,                 2.0126,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5601,                  1.599,                 1.6459,                0.41109,                0.43299,                0.37869,                0.15939,                 2.0877,                 1.9699,                 1.9892,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6012,                 1.6276,                 1.6865,                0.48568,                0.35046,                0.34603,                0.13761,                 2.1831,                 2.0059,                 2.0684,               0.000416,               0.000416,               0.000416
                     82,                 1.5487,                 1.5673,                 1.6571,                0.40617,                0.50515,                0.41722,                0.16408,                  2.087,                 1.9216,                   1.99,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5846,                 1.5854,                 1.6793,                0.47998,                0.43299,                0.40638,                  0.169,                 2.1208,                 1.9587,                 2.0247,              0.0003764,              0.0003764,              0.0003764
